,date,se,browser,hits,hits_fixed,hits_week_trend,hits_week_seasonal,hits_year_trend,hits_year_seasonal
38,2014-01-20,search,chrome,66518821.0,66518821.0,62110107.829457924,2302066.675263433,,
39,2014-01-20,yandex,chrome,25448142.0,25448142.0,,,,
40,2014-01-21,search,chrome,64702388.0,64702388.0,62259583.54476937,1394153.8231848828,,
41,2014-01-21,yandex,chrome,24567384.0,24567384.0,,,,
42,2014-01-22,search,chrome,62947370.0,62947370.0,62475326.612670526,1144499.6426538052,,
43,2014-01-22,yandex,chrome,23994273.0,23994273.0,,,,
44,2014-01-23,search,chrome,63065798.0,63065798.0,62691069.68057169,1089252.380914574,,
45,2014-01-23,yandex,chrome,23935965.0,23935965.0,,,,
46,2014-01-24,search,chrome,61265539.0,61265539.0,62829219.21118237,-640068.3617599913,,
47,2014-01-24,yandex,chrome,23093381.0,23093381.0,,,,
48,2014-01-25,search,chrome,57811265.0,57811265.0,62967368.74179306,-5424662.6347274855,,
49,2014-01-25,yandex,chrome,21409279.0,21409279.0,,,,
50,2014-01-26,search,chrome,62335296.0,62335296.0,63097921.644250795,-976998.9620736269,,
51,2014-01-26,yandex,chrome,23415751.0,23415751.0,,,,
52,2014-01-27,search,chrome,66677080.0,66677080.0,63228474.54670853,3229413.548167011,,
53,2014-01-27,yandex,chrome,25435896.0,25435896.0,,,,
54,2014-01-28,search,chrome,64943242.0,64943242.0,63199268.570244215,1863159.9022666626,,
55,2014-01-28,yandex,chrome,24702400.0,24702400.0,,,,
56,2014-01-29,search,chrome,65860418.0,65860418.0,63170062.5937799,1238763.7029586507,,
57,2014-01-29,yandex,chrome,25242638.0,25242638.0,,,,
58,2014-01-30,search,chrome,65320122.0,65320122.0,62939669.805785716,990050.1957028089,,
59,2014-01-30,yandex,chrome,24861034.0,24861034.0,,,,
60,2014-01-31,search,chrome,62786014.0,62786014.0,62709277.01779154,-1047523.8660285549,,
61,2014-01-31,yandex,chrome,23676625.0,23676625.0,,,,
62,2014-02-01,search,chrome,55850136.0,55850136.0,62384337.86744465,-5549844.1768913,,
63,2014-02-01,yandex,chrome,20410950.0,20410950.0,,,,
64,2014-02-02,search,chrome,60308843.0,60308843.0,62059398.71709775,-801268.9669989113,,
65,2014-02-02,yandex,chrome,22232250.0,22232250.0,,,,
66,2014-02-03,search,chrome,64267089.0,64267089.0,61755113.31793173,3319137.885401127,,
67,2014-02-03,yandex,chrome,24293178.0,24293178.0,,,,
68,2014-02-04,search,chrome,63255525.0,63255525.0,61450827.9187657,1804330.452685028,,
69,2014-02-04,yandex,chrome,23746142.0,23746142.0,,,,
70,2014-02-05,search,chrome,62299368.0,62299368.0,61341557.11531919,1267555.2513104824,,
71,2014-02-05,yandex,chrome,23243549.0,23243549.0,,,,
72,2014-02-06,search,chrome,61541652.0,61541652.0,61232286.31187268,974227.7090228936,,
73,2014-02-06,yandex,chrome,22912622.0,22912622.0,,,,
74,2014-02-07,search,chrome,59824990.0,59824990.0,61271641.09008925,-1235390.5260138428,,
75,2014-02-07,yandex,chrome,22150464.0,22150464.0,,,,
76,2014-02-08,search,chrome,56428759.0,56428759.0,61310995.8683058,-5520254.571953734,,
77,2014-02-08,yandex,chrome,20343782.0,20343782.0,,,,
78,2014-02-09,search,chrome,60896866.0,60896866.0,61408503.86575852,-277365.5133263802,,
79,2014-02-09,yandex,chrome,22329844.0,22329844.0,,,,
80,2014-02-10,search,chrome,65131165.0,65131165.0,61506011.86321125,3298000.7051107455,,
81,2014-02-10,yandex,chrome,24420460.0,24420460.0,,,,
82,2014-02-11,search,chrome,63049743.0,63049743.0,61621294.23802188,1840752.1928632357,,
83,2014-02-11,yandex,chrome,23525400.0,23525400.0,,,,
84,2014-02-12,search,chrome,62390237.0,62390237.0,61736576.61283251,1092979.0016175485,,
85,2014-02-12,yandex,chrome,23129719.0,23129719.0,,,,
86,2014-02-13,search,chrome,62892838.0,62892838.0,61813338.80678717,619714.2311658327,,
87,2014-02-13,yandex,chrome,23784979.0,23784979.0,,,,
88,2014-02-14,search,chrome,60314577.0,60314577.0,61890101.00074183,-1757935.6845944622,,
89,2014-02-14,yandex,chrome,22830720.0,22830720.0,,,,
90,2014-02-15,search,chrome,56400499.0,56400499.0,61920705.58105349,-5506058.514853527,,
91,2014-02-15,yandex,chrome,20899144.0,20899144.0,,,,
92,2014-02-16,search,chrome,62940064.0,62940064.0,61951310.161365144,478789.5196550383,,
93,2014-02-16,yandex,chrome,23564649.0,23564649.0,,,,
94,2014-02-17,search,chrome,65435458.0,65435458.0,61952254.195075765,3572986.106617091,,
95,2014-02-17,yandex,chrome,24992015.0,24992015.0,,,,
96,2014-02-18,search,chrome,64321223.0,64321223.0,61953198.22878638,1982540.5997038018,,
97,2014-02-18,yandex,chrome,24648894.0,24648894.0,,,,
98,2014-02-19,search,chrome,62936398.0,62936398.0,61922150.14769539,1042311.057447817,,
99,2014-02-19,yandex,chrome,23872222.0,23872222.0,,,,
100,2014-02-20,search,chrome,61625947.0,61625947.0,61891102.0666044,425768.0666479043,,
101,2014-02-20,yandex,chrome,23424199.0,23424199.0,,,,
102,2014-02-21,search,chrome,59137046.0,59137046.0,61814902.332782485,-2327557.0150637026,,
103,2014-02-21,yandex,chrome,22444858.0,22444858.0,,,,
104,2014-02-22,search,chrome,56667136.0,56667136.0,61738702.59896057,-5668946.14401336,,
105,2014-02-22,yandex,chrome,21264761.0,21264761.0,,,,
106,2014-02-23,search,chrome,63058986.0,63058986.0,61660153.45468824,700691.8760632214,,
107,2014-02-23,yandex,chrome,23832281.0,23832281.0,,,,
108,2014-02-24,search,chrome,65276366.0,65276366.0,61581604.310415916,3586023.804085141,,
109,2014-02-24,yandex,chrome,25188382.0,25188382.0,,,,
110,2014-02-25,search,chrome,63318154.0,63318154.0,61512640.17995088,2396498.6839202824,,
111,2014-02-25,yandex,chrome,24280224.0,24280224.0,,,,
112,2014-02-26,search,chrome,62733612.0,62733612.0,61443676.04948584,1371227.2395365343,,
113,2014-02-26,yandex,chrome,23895482.0,23895482.0,,,,
114,2014-02-27,search,chrome,61971600.0,61971600.0,61325785.16551867,423534.12835032376,,
115,2014-02-27,yandex,chrome,23847191.0,23847191.0,,,,
116,2014-02-28,search,chrome,58766639.0,58766639.0,61207894.28155151,-2665058.2108924417,,
117,2014-02-28,yandex,chrome,22345672.0,22345672.0,,,,
118,2014-03-01,search,chrome,54004633.0,54004633.0,60991495.76182003,-5759167.373884624,,
119,2014-03-01,yandex,chrome,20227180.0,20227180.0,,,,
120,2014-03-02,search,chrome,62374969.0,62374969.0,60775097.24208855,230407.08162742908,,
121,2014-03-02,yandex,chrome,23988521.0,23988521.0,,,,
122,2014-03-03,search,chrome,65059008.0,65059008.0,60467258.80115343,3310609.3760084603,,
123,2014-03-03,yandex,chrome,25213833.0,25213833.0,,,,
124,2014-03-04,search,chrome,63181873.0,63181873.0,60159420.36021831,2796138.9499845407,,
125,2014-03-04,yandex,chrome,24413750.0,24413750.0,,,,
126,2014-03-05,search,chrome,61418447.0,61418447.0,59793602.57734739,1781758.9541211706,,
127,2014-03-05,yandex,chrome,23702707.0,23702707.0,,,,
128,2014-03-06,search,chrome,59760127.0,59760127.0,59427784.79447647,745071.2680418775,,
129,2014-03-06,yandex,chrome,22979430.0,22979430.0,,,,
130,2014-03-07,search,chrome,55456250.0,55456250.0,59220990.79042877,-2566390.9803784695,,
131,2014-03-07,yandex,chrome,20839839.0,20839839.0,,,,
132,2014-03-08,search,chrome,53951892.0,53951892.0,59014196.786381066,-6009810.345963478,,
133,2014-03-08,yandex,chrome,20112239.0,20112239.0,,,,
134,2014-03-09,search,chrome,56108209.0,56108209.0,59105780.168503165,-455516.2289347404,,
135,2014-03-09,yandex,chrome,21024009.0,21024009.0,,,,
136,2014-03-10,search,chrome,60234527.0,60234527.0,59197363.55062527,3209489.4291312667,,
137,2014-03-10,yandex,chrome,22952031.0,22952031.0,,,,
138,2014-03-11,search,chrome,63152301.0,63152301.0,59561961.33646315,2858419.5745180217,,
139,2014-03-11,yandex,chrome,24549247.0,24549247.0,,,,
140,2014-03-12,search,chrome,62500946.0,62500946.0,59926559.12230104,2004668.2211274945,,
141,2014-03-12,yandex,chrome,24324744.0,24324744.0,,,,
142,2014-03-13,search,chrome,61439122.0,61439122.0,60381396.12194766,1200419.7636726815,,
143,2014-03-13,yandex,chrome,23922033.0,23922033.0,,,,
144,2014-03-14,search,chrome,59197384.0,59197384.0,60836233.12159428,-2150930.1882248786,,
145,2014-03-14,yandex,chrome,22855816.0,22855816.0,,,,
146,2014-03-15,search,chrome,54982949.0,54982949.0,61091603.605688564,-5909728.204554991,,
147,2014-03-15,yandex,chrome,20956388.0,20956388.0,,,,
148,2014-03-16,search,chrome,62113936.0,62113936.0,61346974.08978285,-1225637.7982456917,,
149,2014-03-16,yandex,chrome,23853656.0,23853656.0,,,,
150,2014-03-17,search,chrome,65470375.0,65470375.0,61195604.13620639,3211479.4470703295,,
151,2014-03-17,yandex,chrome,25694298.0,25694298.0,,,,
152,2014-03-18,search,chrome,64116072.0,64116072.0,61044234.18262993,2416252.8366015656,,
153,2014-03-18,yandex,chrome,25035478.0,25035478.0,,,,
154,2014-03-19,search,chrome,62819596.0,62819596.0,60598754.02831778,1882750.0551948852,,
155,2014-03-19,yandex,chrome,24471399.0,24471399.0,,,,
156,2014-03-20,search,chrome,62537060.0,62537060.0,60153273.87400562,1262765.8026555376,,
157,2014-03-20,yandex,chrome,24428449.0,24428449.0,,,,
158,2014-03-21,search,chrome,57972612.0,57972612.0,59682253.10824975,-1654738.6835568175,,
159,2014-03-21,yandex,chrome,22560240.0,22560240.0,,,,
160,2014-03-22,search,chrome,52341620.0,52341620.0,59211232.34249389,-5839342.3049143925,,
161,2014-03-22,yandex,chrome,19928331.0,19928331.0,,,,
162,2014-03-23,search,chrome,55668517.0,55668517.0,58970558.47936162,-1093890.3202289704,,
163,2014-03-23,yandex,chrome,21146295.0,21146295.0,,,,
164,2014-03-24,search,chrome,61589113.0,61589113.0,58729884.61622935,3860549.3202690436,,
165,2014-03-24,yandex,chrome,23923585.0,23923585.0,,,,
166,2014-03-25,search,chrome,59764208.0,59764208.0,58704726.7816898,1831266.9107304483,,
167,2014-03-25,yandex,chrome,22993844.0,22993844.0,,,,
168,2014-03-26,search,chrome,60374660.0,60374660.0,58679568.94715025,1503648.6943881665,,
169,2014-03-26,yandex,chrome,23347480.0,23347480.0,,,,
170,2014-03-27,search,chrome,60132770.0,60132770.0,58663983.23502553,1011523.3568212829,,
171,2014-03-27,yandex,chrome,23168128.0,23168128.0,,,,
172,2014-03-28,search,chrome,58315458.0,58315458.0,58648397.52290081,-1479453.0239062272,,
173,2014-03-28,yandex,chrome,22441029.0,22441029.0,,,,
174,2014-03-29,search,chrome,54329793.0,54329793.0,58430415.46363518,-6130824.548333202,,
175,2014-03-29,yandex,chrome,20759767.0,20759767.0,,,,
176,2014-03-30,search,chrome,58119652.0,58119652.0,58212433.40436953,-797649.6549447739,,
177,2014-03-30,yandex,chrome,22195059.0,22195059.0,,,,
178,2014-03-31,search,chrome,62985235.0,62985235.0,57904969.48151678,4460977.828888741,,
179,2014-03-31,yandex,chrome,24738194.0,24738194.0,,,,
180,2014-04-01,search,chrome,57912201.0,57912201.0,57597505.558664024,1805291.7144239964,,
181,2014-04-01,yandex,chrome,22661250.0,22661250.0,,,,
182,2014-04-02,search,chrome,57355732.0,57355732.0,57447306.33825013,1404986.8044606028,,
183,2014-04-02,yandex,chrome,22459033.0,22459033.0,,,,
184,2014-04-03,search,chrome,56398222.0,56398222.0,57297107.11783623,699221.83340614,,
185,2014-04-03,yandex,chrome,22192393.0,22192393.0,,,,
186,2014-04-04,search,chrome,54800583.0,54800583.0,57435560.907703176,-1317784.2771669154,,
187,2014-04-04,yandex,chrome,21440028.0,21440028.0,,,,
188,2014-04-05,search,chrome,50325477.0,50325477.0,57574014.69757012,-6602845.113661051,,
189,2014-04-05,yandex,chrome,19278642.0,19278642.0,,,,
190,2014-04-06,search,chrome,57885775.0,57885775.0,57924512.29425877,-897904.8230341799,,
191,2014-04-06,yandex,chrome,22161841.0,22161841.0,,,,
192,2014-04-07,search,chrome,63751757.0,63751757.0,58275009.890947424,4608960.170303267,,
193,2014-04-07,yandex,chrome,24863055.0,24863055.0,,,,
194,2014-04-08,search,chrome,61665253.0,61665253.0,58575217.064005315,2353069.8002557787,,
195,2014-04-08,yandex,chrome,24072184.0,24072184.0,,,,
196,2014-04-09,search,chrome,61128970.0,61128970.0,58875424.23706321,1664561.4166542443,,
197,2014-04-09,yandex,chrome,23967358.0,23967358.0,,,,
198,2014-04-10,search,chrome,60043263.0,60043263.0,58829534.73127562,648676.4343659425,,
199,2014-04-10,yandex,chrome,23391470.0,23391470.0,,,,
200,2014-04-11,search,chrome,57988903.0,57988903.0,58783645.22548804,-1114318.7740900163,,
201,2014-04-11,yandex,chrome,22364227.0,22364227.0,,,,
202,2014-04-12,search,chrome,51465049.0,51465049.0,58355290.45361842,-7274206.568750942,,
203,2014-04-12,yandex,chrome,19485743.0,19485743.0,,,,
204,2014-04-13,search,chrome,58392293.0,58392293.0,57926935.68174881,-1568014.3091638077,,
205,2014-04-13,yandex,chrome,22391611.0,22391611.0,,,,
206,2014-04-14,search,chrome,61882000.0,61882000.0,57126732.09734295,4523950.277077936,,
207,2014-04-14,yandex,chrome,24396080.0,24396080.0,,,,
208,2014-04-15,search,chrome,60144094.0,60144094.0,56326528.5129371,3179706.640114426,,
209,2014-04-15,yandex,chrome,23602756.0,23602756.0,,,,
210,2014-04-16,search,chrome,57662449.0,57662449.0,55297336.26342548,2094541.1754399126,,
211,2014-04-16,yandex,chrome,22553507.0,22553507.0,,,,
212,2014-04-17,search,chrome,55026719.0,55026719.0,54268144.013913855,274350.0788039286,,
213,2014-04-17,yandex,chrome,21484604.0,21484604.0,,,,
214,2014-04-18,search,chrome,53029321.0,53029321.0,53504394.22083871,-1293404.5548889604,,
215,2014-04-18,yandex,chrome,20509299.0,20509299.0,,,,
216,2014-04-19,search,chrome,43189962.0,43189962.0,52740644.427763574,-7097769.238019265,,
217,2014-04-19,yandex,chrome,16352790.0,16352790.0,,,,
218,2014-04-20,search,chrome,46553523.0,46553523.0,52414553.5658181,-1856282.0336533585,,
219,2014-04-20,yandex,chrome,17864375.0,17864375.0,,,,
220,2014-04-21,search,chrome,55018374.0,55018374.0,52088462.70387262,4716607.9654488955,,
221,2014-04-21,yandex,chrome,21702900.0,21702900.0,,,,
222,2014-04-22,search,chrome,55523293.0,55523293.0,51923722.534217566,3980715.8859433285,,
223,2014-04-22,yandex,chrome,21793384.0,21793384.0,,,,
224,2014-04-23,search,chrome,54941519.0,54941519.0,51758982.36456251,2406105.195184459,,
225,2014-04-23,yandex,chrome,21719063.0,21719063.0,,,,
226,2014-04-24,search,chrome,53915279.0,53915279.0,51572609.993780814,-875721.5192713748,,
227,2014-04-24,yandex,chrome,21469543.0,21469543.0,,,,
228,2014-04-25,search,chrome,51222611.0,51222611.0,51386237.62299912,-2713428.0190536617,,
229,2014-04-25,yandex,chrome,20176656.0,20176656.0,,,,
230,2014-04-26,search,chrome,45317959.0,45317959.0,50765436.98764379,-6391229.428320578,,
231,2014-04-26,yandex,chrome,17477512.0,17477512.0,,,,
232,2014-04-27,search,chrome,48689114.0,48689114.0,50144636.35228848,-1505728.659213444,,
233,2014-04-27,yandex,chrome,18829259.0,18829259.0,,,,
234,2014-04-28,search,chrome,54760282.0,54760282.0,49425584.20204,5216090.061403964,,
235,2014-04-28,yandex,chrome,21466448.0,21466448.0,,,,
236,2014-04-29,search,chrome,52542565.0,52542565.0,48706532.05179153,4491986.4010031875,,
237,2014-04-29,yandex,chrome,20438445.0,20438445.0,,,,
238,2014-04-30,search,chrome,49260907.0,49260907.0,48417733.475239195,2664637.307583462,,
239,2014-04-30,yandex,chrome,18968117.0,18968117.0,,,,
240,2014-05-01,search,chrome,40993187.0,40993187.0,48128934.89868686,-1350303.4102836389,,
241,2014-05-01,yandex,chrome,15228203.0,15228203.0,,,,
242,2014-05-02,search,chrome,42201165.0,42201165.0,48264367.11128064,-4476621.427062157,,
243,2014-05-02,yandex,chrome,15780194.0,15780194.0,,,,
244,2014-05-03,search,chrome,43932414.0,43932414.0,48399799.32387442,-5998361.420745881,,
245,2014-05-03,yandex,chrome,16645698.0,16645698.0,,,,
246,2014-05-04,search,chrome,49484946.0,49484946.0,48662795.78308734,-704701.2196075525,,
247,2014-05-04,yandex,chrome,18992530.0,18992530.0,,,,
248,2014-05-05,search,chrome,56089182.0,56089182.0,48925792.24230026,5670443.394209439,,
249,2014-05-05,yandex,chrome,22237235.0,22237235.0,,,,
250,2014-05-06,search,chrome,55537331.0,55537331.0,49195235.01754292,4561765.639181947,,
251,2014-05-06,yandex,chrome,22022586.0,22022586.0,,,,
252,2014-05-07,search,chrome,53366032.0,53366032.0,49464677.792785585,2664976.425471622,,
253,2014-05-07,yandex,chrome,21128614.0,21128614.0,,,,
254,2014-05-08,search,chrome,48462275.0,48462275.0,49458006.47747602,-1150712.3263225735,,
255,2014-05-08,yandex,chrome,18752208.0,18752208.0,,,,
256,2014-05-09,search,chrome,39638221.0,39638221.0,49451335.16216646,-5065663.681772528,,
257,2014-05-09,yandex,chrome,14736741.0,14736741.0,,,,
258,2014-05-10,search,chrome,43244894.0,43244894.0,49452967.63290626,-6495273.608380451,,
259,2014-05-10,yandex,chrome,16252799.0,16252799.0,,,,
260,2014-05-11,search,chrome,50220656.0,50220656.0,49454600.10364605,-688000.8269203294,,
261,2014-05-11,yandex,chrome,19480250.0,19480250.0,,,,
262,2014-05-12,search,chrome,54960534.0,54960534.0,49596201.47168118,5674388.56769134,,
263,2014-05-12,yandex,chrome,21376987.0,21376987.0,,,,
264,2014-05-13,search,chrome,53465850.0,53465850.0,49737802.83971631,4435370.9113026485,,
265,2014-05-13,yandex,chrome,21050504.0,21050504.0,,,,
266,2014-05-14,search,chrome,52655950.0,52655950.0,49834955.39850405,2792128.6259926953,,
267,2014-05-14,yandex,chrome,20487977.0,20487977.0,,,,
268,2014-05-15,search,chrome,51840197.0,51840197.0,49932107.95729178,374505.0368635465,,
269,2014-05-15,yandex,chrome,19988901.0,19988901.0,,,,
270,2014-05-16,search,chrome,47729750.0,47729750.0,49832223.89797929,-4262954.427078044,,
271,2014-05-16,yandex,chrome,18234711.0,18234711.0,,,,
272,2014-05-17,search,chrome,41290884.0,41290884.0,49732339.83866679,-7433436.40044706,,
273,2014-05-17,yandex,chrome,15426745.0,15426745.0,,,,
274,2014-05-18,search,chrome,47127332.0,47127332.0,49575439.37136949,-1875205.0791643444,,
275,2014-05-18,yandex,chrome,17823451.0,17823451.0,,,,
276,2014-05-19,search,chrome,54507284.0,54507284.0,49418538.90407219,4947315.643567219,,
277,2014-05-19,yandex,chrome,21252041.0,21252041.0,,,,
278,2014-05-20,search,chrome,52914032.0,52914032.0,49248834.60134521,3898140.9116559424,,
279,2014-05-20,yandex,chrome,20585515.0,20585515.0,,,,
280,2014-05-21,search,chrome,51145934.0,51145934.0,49079130.29861823,2921569.9073845847,,
281,2014-05-21,yandex,chrome,19863707.0,19863707.0,,,,
282,2014-05-22,search,chrome,50763345.0,50763345.0,49135791.645879716,1992454.516129826,,
283,2014-05-22,yandex,chrome,19582129.0,19582129.0,,,,
284,2014-05-23,search,chrome,47161339.0,47161339.0,49192452.993141204,-2273818.1503876364,,
285,2014-05-23,yandex,chrome,18333904.0,18333904.0,,,,
286,2014-05-24,search,chrome,40399232.0,40399232.0,49413959.34592632,-7958850.08080382,,
287,2014-05-24,yandex,chrome,15165092.0,15165092.0,,,,
288,2014-05-25,search,chrome,45953666.0,45953666.0,49635465.69871144,-3266063.180440473,,
289,2014-05-25,yandex,chrome,17604605.0,17604605.0,,,,
290,2014-05-26,search,chrome,54335796.0,54335796.0,49850270.12006876,4336564.046402709,,
291,2014-05-26,yandex,chrome,21302119.0,21302119.0,,,,
292,2014-05-27,search,chrome,54128963.0,54128963.0,50065074.54142607,3533804.8371596457,,
293,2014-05-27,yandex,chrome,21110615.0,21110615.0,,,,
294,2014-05-28,search,chrome,53577522.0,53577522.0,50063330.50337756,2874708.168258081,,
295,2014-05-28,yandex,chrome,20992168.0,20992168.0,,,,
296,2014-05-29,search,chrome,53603551.0,53603551.0,50061586.46532905,2085711.3510533082,,
297,2014-05-29,yandex,chrome,20982979.0,20982979.0,,,,
298,2014-05-30,search,chrome,49513137.0,49513137.0,49962602.49001222,-1297063.0830334492,,
299,2014-05-30,yandex,chrome,19123903.0,19123903.0,,,,
300,2014-05-31,search,chrome,43018817.0,43018817.0,49863618.51469539,-7858176.888406552,,
301,2014-05-31,yandex,chrome,16074872.0,16074872.0,,,,
302,2014-06-01,search,chrome,44545680.0,44545680.0,49760250.8751851,-3696270.042392054,,
303,2014-06-01,yandex,chrome,16673741.0,16673741.0,,,,
304,2014-06-02,search,chrome,52094317.0,52094317.0,49656883.235674806,4293809.106962501,,
305,2014-06-02,yandex,chrome,20077274.0,20077274.0,,,,
306,2014-06-03,search,chrome,51857527.0,51857527.0,49583441.84203224,3649078.2393463333,,
307,2014-06-03,yandex,chrome,20354299.0,20354299.0,,,,
308,2014-06-04,search,chrome,52854650.0,52854650.0,49510000.448389664,2876987.9937374345,,
309,2014-06-04,yandex,chrome,21025859.0,21025859.0,,,,
310,2014-06-05,search,chrome,52110290.0,52110290.0,49652092.504109,1568814.8895499322,,
311,2014-06-05,yandex,chrome,20710223.0,20710223.0,,,,
312,2014-06-06,search,chrome,49263020.0,49263020.0,49794184.55982834,-1459033.759127616,,
313,2014-06-06,yandex,chrome,19636731.0,19636731.0,,,,
314,2014-06-07,search,chrome,41430467.0,41430467.0,49952317.45738685,-7338766.726588846,,
315,2014-06-07,yandex,chrome,16294921.0,16294921.0,,,,
316,2014-06-08,search,chrome,46434843.0,46434843.0,50110450.35494536,-3273368.098413505,,
317,2014-06-08,yandex,chrome,18486355.0,18486355.0,,,,
318,2014-06-09,search,chrome,55579040.0,55579040.0,50380211.198188916,4235660.814332245,,
319,2014-06-09,yandex,chrome,22766337.0,22766337.0,,,,
320,2014-06-10,search,chrome,54694156.0,54694156.0,50649972.04143248,3499718.037144004,,
321,2014-06-10,yandex,chrome,22284243.0,22284243.0,,,,
322,2014-06-11,search,chrome,52637526.0,52637526.0,51319150.39223935,2756616.2466139887,,
323,2014-06-11,yandex,chrome,21267068.0,21267068.0,,,,
324,2014-06-12,search,chrome,49703781.0,49703781.0,51988328.743046224,1372159.3516781072,,
325,2014-06-12,yandex,chrome,19355999.0,19355999.0,,,,
326,2014-06-13,search,chrome,49304254.0,49304254.0,52880038.24370007,-1455858.0193594084,,
327,2014-06-13,yandex,chrome,19333979.0,19333979.0,,,,
328,2014-06-14,search,chrome,47694528.0,47694528.0,53771747.74435392,-7142273.284905855,,
329,2014-06-14,yandex,chrome,19235886.0,19235886.0,,,,
330,2014-06-15,search,chrome,53415539.0,53415539.0,54634014.24916616,-2731234.987475159,,
331,2014-06-15,yandex,chrome,21924148.0,21924148.0,,,,
332,2014-06-16,search,chrome,61037466.0,61037466.0,55496280.753978394,4260620.410075973,,
333,2014-06-16,yandex,chrome,25976852.0,25976852.0,,,,
334,2014-06-17,search,chrome,61091930.0,61091930.0,55957875.06838611,3215163.8618129008,,
335,2014-06-17,yandex,chrome,26625976.0,26625976.0,,,,
336,2014-06-18,search,chrome,60893621.0,60893621.0,56419469.38279383,2390239.076981371,,
337,2014-06-18,yandex,chrome,26634606.0,26634606.0,,,,
338,2014-06-19,search,chrome,59749853.0,59749853.0,56053794.41842145,1270384.7076353733,,
339,2014-06-19,yandex,chrome,26125251.0,26125251.0,,,,
340,2014-06-20,search,chrome,55065763.0,55065763.0,55688119.45404906,-1242801.261750381,,
341,2014-06-20,yandex,chrome,23772605.0,23772605.0,,,,
342,2014-06-21,search,chrome,48340614.0,48340614.0,54835765.69491583,-7121251.970730633,,
343,2014-06-21,yandex,chrome,20908910.0,20908910.0,,,,
344,2014-06-22,search,chrome,52427651.0,52427651.0,53983411.93578261,-2794541.357636164,,
345,2014-06-22,yandex,chrome,22662766.0,22662766.0,,,,
346,2014-06-23,search,chrome,56113289.0,56113289.0,53012707.179510504,4196969.125835241,,
347,2014-06-23,yandex,chrome,23263774.0,23263774.0,,,,
348,2014-06-24,search,chrome,53120749.0,53120749.0,52042002.423238404,3052182.867149715,,
349,2014-06-24,yandex,chrome,21306519.0,21306519.0,,,,
350,2014-06-25,search,chrome,52274096.0,52274096.0,51179437.97211537,2360351.2616388327,,
351,2014-06-25,yandex,chrome,20966392.0,20966392.0,,,,
